src/api/topics.js: line 168, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 172, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 176, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 187, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 200, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 208, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 227, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 236, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 241, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 256, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 264, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 272, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 281, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 289, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 302, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 306, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 310, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/users.js: line 25, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 32, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 42, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 51, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 103, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 107, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 111, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 115, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 123, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 142, col 26, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/users.js: line 142, col 39, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/users.js: line 142, col 51, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/users.js: line 148, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
